Date,HIGHWAY,SECTION,SECTION LENGTH,ADT,AADT
2019-05-29,4,3,4.1,2.289,2.15
2019-05-29,4,4,9.24,1.007,950.0
2019-05-29,4,4,9.24,993.0,930.0
2019-05-29,4,6,1.367,800.0,750.0
2019-05-29,4,6,1.367,840.0,790.0
2019-05-06,4,10,3.77,5.156,5.08
2019-05-06,4,11,5.62,4.882,4.81
2019-05-06,4,11,5.62,4.422,4.36
2019-05-06,4,12,2.97,6.143,6.05
2019-05-06,4,13,9.04,798.0,800.0
2019-05-06,4,14,7.32,952.0,960.0
2019-05-07,4,15,15.61,417.0,420.0
2019-05-07,4,15,15.61,431.0,430.0
2019-05-07,4,15,15.61,420.0,420.0
2019-06-11,4,16,5.2,829.0,770.0
2019-06-11,4,16,5.2,861.0,800.0
2019-05-14,4,17,10.5,719.0,690.0
2019-05-14,4,17,10.5,704.0,680.0
2019-08-21,4,17,10.5,7.144,5.39
2019-06-04,4,17,10.5,5.959,5.54
2019-07-11,4,19,9.87,533.0,410.0
2019-07-11,4,19,9.87,552.0,420.0
2019-07-18,4,20,1.67,2.723,2.05
2019-07-25,4,21,13.0,137.0,100.0
2019-07-25,4,21,13.0,150.0,110.0
2019-07-25,4,23,9.48,106.0,80.0
2019-07-25,4,23,9.48,105.0,80.0
2019-08-01,4,30,9.67,323.0,230.0
2019-08-01,4,30,9.67,344.0,240.0
2019-05-29,4,110,3.95,4.896,4.55
2019-05-14,4,110,3.95,4.686,4.53
2019-05-29,4,110,3.95,5.508,5.33
2019-05-14,4,110,3.95,5.237,5.06
2019-05-14,4,110,3.95,5.581,5.4
2019-05-29,4,110,3.95,5.854,5.44
2019-05-29,4,110,3.95,5.552,5.16
2019-05-14,4,110,3.95,5.282,5.11
2019-05-29,4,110,3.95,6.055,5.63
2019-05-14,4,110,3.95,4.727,4.57
2019-05-29,4,110,3.95,4.969,4.62
2019-06-05,6,10,4.68,3.844,3.6
2019-09-10,6,15,1.62,2.947,2.54
2019-06-12,6,20,8.07,2.665,2.52
2019-06-12,6,25,14.96,842.0,800.0
2019-06-12,6,25,14.96,881.0,830.0
2019-06-12,6,30,7.07,1.356,1.28
2019-06-25,6,35,7.7,3.166,2.76
2019-06-25,6,40,7.07,1.631,1.44
2019-06-25,6,40,7.07,1.612,1.42
2019-06-26,6,50,7.28,2.346,2.04
2019-06-26,6,60,8.92,754.0,660.0
2019-06-26,6,60,8.92,796.0,690.0
2019-06-26,6,70,8.65,1.704,1.5
2019-07-03,6,80,9.84,2.708,2.216
2019-06-26,6,90,1.94,5.502,4.79
2019-06-18,6,110,9.7,1.664,1.4
2019-06-11,6,120,9.8,620.0,580.0
2019-06-11,6,120,9.8,646.0,600.0
2019-06-11,6,130,5.56,1.53,1.43
2019-06-11,6,135,11.03,1.161,1.08
2019-06-11,6,135,11.03,1.153,1.08
2019-06-11,6,135,11.03,1.873,1.75
2019-06-11,6,140,5.81,2.812,2.62
2019-07-25,7,10,0.2,10.053,9.96
2019-07-25,7,10,0.2,8.109,8.03
2019-05-30,7,30,5.02,4.343,4.04
2019-05-30,7,31,2.54,1.992,1.85
2019-05-30,7,31,2.54,2.002,1.88
2019-05-30,7,32,9.66,2.779,2.58
2019-05-30,7,32,9.66,2.829,2.63
2019-05-16,7,35,10.45,3.694,3.57
2019-05-16,7,37,2.58,3.297,3.19
2019-05-16,7,37,2.58,3.312,3.2
2019-05-30,7,43,11.12,3.748,3.52
2019-05-30,7,45,8.12,773.0,720.0
2019-05-30,7,45,8.12,770.0,720.0
2019-05-30,7,50,13.01,1.27,1.19
2019-05-30,7,52,9.11,1.196,1.12
2019-05-30,7,54,11.99,1.266,1.19
2019-06-13,7,56,10.98,750.0,700.0
2019-06-13,7,56,10.98,741.0,690.0
2019-06-13,7,60,3.6,2.962,2.76
2019-06-13,7,62,11.99,1.176,1.1
2019-06-13,7,64,14.46,784.0,730.0
2019-06-13,7,66,11.77,329.0,310.0
2019-06-13,7,66,11.77,321.0,300.0
2019-08-14,7,98,11.64,719.0,530.0
2019-08-14,7,98,11.64,712.0,520.0
2019-08-14,7,99,9.05,894.0,650.0
2019-08-14,7,99,9.05,902.0,660.0
2019-07-10,14,5,0.82,4.887,3.76
2019-09-25,14,10,9.71,1.052,940.0
2019-09-25,14,10,9.71,1.054,940.0
2019-07-17,14,20,11.84,719.0,540.0
2019-07-17,14,20,11.84,734.0,550.0
2019-09-25,14,20,11.84,1.846,1.65
2019-09-25,14,20,11.84,1.853,1.65
2019-07-17,14,25,5.18,745.0,560.0
2019-07-17,14,25,5.18,756.0,570.0
2019-09-25,14,25,5.18,974.0,870.0
2019-09-25,14,25,5.18,970.0,870.0
2019-07-17,14,30,12.35,2.234,1.68
2019-07-17,14,40,12.05,1.631,1.23
2019-07-24,14,45,4.06,2.725,2.02
2019-07-17,14,45,4.06,1.135,850.0
2019-07-17,14,45,4.06,1.131,850.0
2019-07-24,14,50,9.48,1.682,1.51
2019-07-31,14,50,9.48,2.178,1.95
2019-07-31,14,50,9.48,2.268,2.03
2019-08-15,14,50,9.48,6.812,5.89
2019-07-24,14,50,9.48,1.671,1.5
2019-08-15,14,60,0.93,6.354,4.93
2019-09-16,14,70,2.21,3.745,3.34
2019-09-16,14,75,4.36,3.343,2.98
2019-09-16,14,80,12.2,1.315,1.17
2019-09-16,14,80,12.2,1.315,1.17
2019-09-16,14,85,8.98,1.095,980.0
2019-09-23,19,45,6.42,1.217,1.14
2019-09-23,19,45,6.42,1.233,1.15
2019-10-28,32,10,4.62,13.568,13.2
2019-08-27,32,10,4.62,9.695,9.6
2019-10-28,32,10,4.62,13.2,12.8
2019-10-28,32,10,4.62,13.371,13.0
2019-10-28,32,10,4.62,12.961,12.6
2019-08-13,33,10,4.72,14.172,14.2
2019-10-02,33,10,4.72,14.845,14.6
2019-10-02,33,10,4.72,11.134,10.9
2019-09-12,101,20,3.71,23.385,22.1
2019-09-12,101,20,3.71,23.205,22.0
2019-09-12,101,25,2.89,16.204,15.3
2019-09-12,101,25,2.89,16.023,15.2
2019-09-12,101,40,8.26,8.785,8.32
2019-09-12,101,45,13.67,8.785,8.32
2019-04-25,101,50,6.82,7.972,8.3
2019-04-25,101,50,6.82,7.931,8.25
2019-12-03,101,60,2.33,8.09,8.7
2019-12-03,101,60,2.33,8.352,8.99
2019-04-25,101,65,2.13,8.125,8.23
2019-04-25,101,65,2.13,7.815,7.92
2019-04-25,101,70,1.71,7.737,8.05
2019-04-25,101,70,1.71,8.066,8.39
2019-12-03,101,80,6.17,7.034,7.63
2019-12-03,101,80,6.17,7.168,7.78
2019-09-18,101,255,7.65,5.021,4.48
2019-12-09,102,10,1.38,26.554,27.7
2019-12-09,102,15,0.82,28.465,29.7
2019-04-29,102,20,2.37,26.668,25.8
2019-10-30,102,20,2.37,28.806,28.9
2019-06-10,102,25,3.22,6.578,6.12
2019-11-14,102,25,3.22,28.607,30.9
2019-12-12,102,25,3.22,30.75,32.1
2019-12-18,102,30,1.98,30.348,32.22
2019-06-10,102,30,1.98,7.029,6.54
2019-06-10,102,30,1.98,1.874,1.74
2019-06-10,102,30,1.98,2.026,1.89
2019-10-30,102,30,1.98,34.169,34.3
2019-04-29,102,35,3.05,26.04,25.2
2019-06-10,102,35,3.05,3.874,3.6
2019-06-10,102,35,3.05,912.0,850.0
2019-11-14,102,35,3.05,27.215,29.4
2019-10-10,102,40,3.81,29.008,27.0
2019-10-28,102,45,1.483,21.506,21.6
2019-10-10,102,45,1.483,22.097,20.6
2019-10-10,102,50,6.761,16.496,15.3
2019-10-10,102,50,6.761,16.28,15.1
2019-05-02,102,60,0.51,11.764,11.4
2019-12-05,102,75,3.29,19.891,21.6
2019-05-02,102,75,3.29,27.799,26.9
2019-09-04,102,90,6.92,13.652,11.3
2019-10-07,102,90,6.92,16.716,15.0
2019-10-07,102,100,10.21,15.158,12.8
2019-12-05,102,100,10.21,10.954,12.7
2019-10-07,102,110,6.98,14.292,12.8
2019-10-07,102,120,5.9,14.651,13.1
2019-10-07,102,120,5.9,14.559,13.0
2019-09-17,102,145,2.486,14.245,13.4
2019-06-18,102,145,2.486,14.22,13.2
2019-09-17,102,150,2.0,16.165,15.3
2019-06-18,102,150,2.0,15.387,14.3
2019-09-04,102,161,1.4,14.961,13.3
2019-11-14,102,161,1.4,14.805,16.0
2019-11-21,102,166,1.21,9.566,9.93
2019-11-27,103,10,1.216,15.98,16.7
2019-10-28,103,20,4.38,13.155,13.2
2019-12-04,103,20,4.38,12.371,13.4
2019-11-19,103,25,7.213,10.568,11.0
2019-10-08,103,25,7.213,10.654,9.91
2019-11-19,103,30,6.86,12.826,13.3
2019-10-08,103,40,10.2,6.995,5.92
2019-10-08,103,40,10.2,6.973,5.9
2019-09-10,104,20,2.05,7.206,6.2
2019-09-10,104,30,2.45,7.206,6.2
2019-06-05,104,30,2.45,7.513,7.04
2019-09-10,104,40,3.49,6.833,5.88
2019-09-10,104,50,20.72,6.396,5.64
2019-06-05,104,50,20.72,5.995,5.48
2019-09-10,104,60,10.24,6.554,5.64
2019-06-05,104,60,10.24,6.174,5.78
2019-05-27,104,70,8.823,5.704,5.35
2019-09-17,104,70,8.823,6.119,5.45
2019-05-27,104,80,10.65,5.247,4.93
2019-09-17,104,100,10.668,5.682,5.06
2019-05-22,104,100,10.668,3.513,3.37
2019-05-15,104,110,5.76,5.741,5.66
2019-05-22,104,110,5.76,5.334,5.12
2019-05-15,104,120,4.18,6.337,6.25
2019-05-22,104,120,4.18,5.909,5.67
2019-05-15,104,130,4.39,7.969,7.73
2019-05-22,104,130,4.39,7.6,7.4
2019-05-22,104,140,8.65,8.68,8.33
2019-05-15,104,140,8.65,8.795,8.68
2019-06-18,104,160,9.432,6.572,5.89
2019-11-27,104,160,9.432,4.446,5.02
2019-06-18,104,165,7.257,6.413,5.78
2019-06-18,104,165,7.257,6.16,5.55
2019-08-28,104,170,13.481,7.845,5.85
2019-08-21,104,170,13.481,8.086,6.1
2019-08-28,104,180,8.62,7.495,6.53
2019-09-18,104,190,4.31,7.229,6.78
2019-08-28,104,190,4.31,8.365,6.23
2019-09-04,104,210,1.64,8.062,6.32
2019-11-27,104,210,1.64,6.616,7.44
2019-09-04,104,220,3.04,9.725,7.62
2019-08-28,104,220,3.04,11.117,8.35
2019-08-28,104,223,1.16,12.551,9.42
2019-05-21,104,223,1.16,11.539,11.1
2019-05-21,104,227,1.28,11.939,11.6
2019-05-21,104,227,1.28,13.063,12.7
2019-05-21,104,230,3.5,6.256,6.01
2019-05-21,104,230,3.5,6.317,6.06
2019-05-21,104,240,7.5,4.94,4.74
2019-11-27,104,240,7.5,3.758,4.22
2019-05-28,104,250,12.29,9.141,8.58
2019-09-11,104,250,12.29,4.471,3.85
2019-09-11,104,250,12.29,4.568,3.93
2019-05-21,104,252,8.12,3.912,3.76
2019-05-21,104,252,8.12,3.985,3.82
2019-09-11,104,270,9.13,4.468,3.85
2019-09-11,104,270,9.13,4.457,3.84
2019-05-14,106,10,1.26,4.327,4.27
2019-05-14,106,10,1.26,4.323,4.26
2019-05-21,106,15,5.38,8.42,8.08
2019-05-28,106,20,5.02,9.671,9.08
2019-10-21,107,10,1.76,7.702,7.4
2019-10-21,107,10,1.76,9.014,8.66
2019-10-09,107,15,3.57,9.284,8.64
2019-10-09,107,15,3.57,9.26,8.62
2019-10-09,107,17,5.08,7.5,6.98
2019-10-09,107,17,5.08,7.369,6.86
2019-05-23,107,19,1.58,19.16,18.4
2019-05-23,107,20,4.38,16.126,15.5
2019-05-23,107,30,7.21,5.448,5.23
2019-05-23,107,30,7.21,5.511,5.29
2019-05-16,107,40,1.77,8.47,8.19
2019-05-23,107,50,4.54,5.573,5.35
2019-05-16,107,60,6.97,3.911,3.78
2019-10-21,118,10,2.88,13.237,12.7
2019-10-21,118,10,2.88,12.715,12.2
2019-10-09,118,20,1.76,8.007,7.94
2019-12-18,118,20,1.76,24.94,24.77
2019-10-09,118,20,1.76,17.844,17.7
2019-08-13,118,23,3.38,15.912,16.0
2019-08-13,118,23,3.38,15.603,15.7
2019-09-23,125,40,1.92,5.01,4.67
2019-09-24,125,55,1.8,12.484,11.6
2019-09-23,125,55,1.8,12.448,11.6
2019-09-24,125,65,0.5,11.809,11.0
2019-09-24,125,65,0.5,11.736,10.9
2019-06-12,142,10,6.11,2.477,2.34
2019-09-09,202,5,7.45,421.0,380.0
2019-09-09,202,5,7.45,419.0,370.0
2019-09-09,202,7,8.32,581.0,520.0
2019-08-22,202,10,8.17,346.0,270.0
2019-10-03,202,15,7.25,504.0,460.0
2019-09-18,202,20,6.63,1.567,1.4
2019-06-03,204,10,7.77,2.536,2.38
2019-06-03,204,15,14.41,801.0,750.0
2019-05-27,204,20,8.2,659.0,620.0
2019-05-29,204,30,6.0,353.0,330.0
2019-05-29,204,35,12.56,62.0,60.0
2019-05-29,204,35,12.56,65.0,60.0
2019-05-23,207,20,6.9,4.112,3.95
2019-05-23,207,20,6.9,4.036,3.87
2019-05-23,207,25,5.95,2.868,2.79
2019-05-23,207,27,12.0,993.0,970.0
2019-05-23,207,30,4.61,2.623,2.55
2019-07-08,208,25,10.62,527.0,440.0
2019-07-08,208,25,10.62,547.0,460.0
2019-05-08,209,10,10.03,818.0,850.0
2019-07-09,209,13,4.85,439.0,340.0
2019-07-09,209,13,4.85,439.0,340.0
2019-07-09,209,15,5.61,625.0,480.0
2019-07-09,209,17,10.32,243.0,190.0
2019-07-09,209,17,10.32,243.0,190.0
2019-07-09,209,20,9.35,585.0,450.0
2019-07-09,209,25,5.64,350.0,270.0
2019-07-09,209,25,5.64,348.0,270.0
2019-07-09,209,27,11.74,332.0,260.0
2019-07-02,209,30,16.3,187.0,150.0
2019-07-02,209,35,10.43,145.0,130.0
2019-07-02,209,40,10.36,99.0,90.0
2019-07-02,209,40,10.36,110.0,100.0
2019-07-02,209,45,6.13,261.0,230.0
2019-05-02,212,10,7.16,1.831,1.86
2019-05-02,212,20,10.23,1.365,1.39
2019-05-02,212,25,6.52,1.22,1.31
2019-05-02,212,27,7.37,406.0,410.0
2019-05-02,212,27,7.37,420.0,430.0
2019-08-20,213,30,9.84,16.865,14.3
2019-08-20,213,40,2.24,7.202,5.56
2019-08-20,213,40,2.24,7.237,5.59
2019-10-03,214,10,1.16,15.363,14.4
2019-10-03,214,20,6.45,4.661,4.38
2019-07-10,215,10,2.49,2.128,1.64
2019-07-03,215,15,9.78,1.497,1.22
2019-07-03,215,17,9.95,808.0,660.0
2019-07-24,215,20,8.28,1.209,900.0
2019-07-24,215,25,11.61,907.0,670.0
2019-07-24,215,27,9.42,1.023,760.0
2019-07-23,215,30,10.63,682.0,510.0
2019-07-23,215,31,12.23,619.0,460.0
2019-07-23,215,32,11.57,586.0,430.0
2019-07-23,215,33,5.94,1.013,750.0
2019-07-23,215,34,12.63,1.017,750.0
2019-07-23,215,35,13.7,2.187,1.62
2019-07-23,215,35,13.7,1.308,970.0
2019-07-23,215,35,13.7,1.292,960.0
2019-08-22,215,35,13.7,1.336,990.0
2019-08-22,215,35,13.7,1.355,1.01
2019-08-22,215,40,5.42,1.259,970.0
2019-08-22,215,40,5.42,1.226,950.0
2019-09-09,215,40,5.42,2.43,2.17
2019-08-29,217,10,1.1,1.092,870.0
2019-08-29,217,10,1.1,1.302,1.04
2019-07-30,217,33,13.55,704.0,560.0
2019-07-30,217,33,13.55,706.0,560.0
2019-06-20,221,3,15.53,513.0,460.0
2019-06-20,221,3,15.53,512.0,460.0
2019-06-20,221,3,15.53,156.0,140.0
2019-06-20,221,3,15.53,177.0,160.0
2019-07-30,221,3,15.53,302.0,210.0
2019-07-30,221,3,15.53,282.0,200.0
2019-07-30,221,7,8.3,430.0,340.0
2019-07-30,221,7,8.3,435.0,350.0
2019-06-27,224,10,8.75,601.0,520.0
2019-06-27,224,20,8.27,437.0,410.0
2019-06-27,224,25,19.23,200.0,190.0
2019-06-27,224,25,19.23,200.0,190.0
2019-06-27,224,27,5.39,732.0,680.0
2019-05-09,224,30,11.0,1.25,1.3
2019-05-09,224,35,9.27,1.735,1.81
2019-05-09,224,40,5.31,1.599,1.67
2019-05-09,224,45,7.02,1.053,1.1
2019-05-09,224,47,6.03,775.0,810.0
2019-05-09,224,47,6.03,773.0,810.0
2019-05-09,224,50,8.46,835.0,870.0
2019-10-21,224,60,6.01,1.5,1.45
2019-08-22,236,10,9.24,2.004,1.49
2019-08-22,236,10,9.24,968.0,720.0
2019-08-22,236,10,9.24,941.0,700.0
2019-08-22,236,15,10.6,813.0,610.0
2019-08-22,236,20,5.31,648.0,500.0
2019-08-22,236,25,7.21,789.0,670.0
2019-08-22,236,30,6.53,1.299,970.0
2019-08-22,236,40,7.82,1.026,760.0
2019-07-03,236,45,10.01,995.0,810.0
2019-06-17,236,50,12.62,1.771,1.59
2019-07-03,236,55,5.67,932.0,760.0
2019-07-03,236,55,5.67,985.0,800.0
2019-05-01,236,60,3.71,5.141,5.22
2019-05-01,236,60,3.71,6.275,6.37
2019-07-02,242,10,12.34,1.585,1.41
2019-07-02,242,20,5.73,598.0,530.0
2019-07-02,242,20,5.73,588.0,520.0
2019-07-18,245,10,7.44,1.045,790.0
2019-07-18,245,10,7.44,1.054,790.0
2019-07-18,245,20,8.79,1.767,1.33
2019-07-18,245,25,10.04,387.0,290.0
2019-07-18,245,25,10.04,352.0,270.0
2019-06-17,246,10,7.99,554.0,500.0
2019-07-03,246,20,7.87,631.0,560.0
2019-07-03,246,30,10.6,431.0,380.0
2019-07-03,246,30,10.6,423.0,380.0
2019-08-27,253,10,12.02,748.0,740.0
2019-08-27,253,10,12.02,783.0,780.0
2019-07-03,256,3,11.84,283.0,250.0
2019-05-13,256,5,7.86,206.0,200.0
2019-05-13,256,10,7.55,173.0,170.0
2019-05-13,256,10,7.55,173.0,170.0
2019-06-04,256,20,6.55,490.0,460.0
2019-06-04,256,25,8.95,719.0,670.0
2019-05-28,256,30,6.47,649.0,610.0
2019-05-28,256,30,6.47,627.0,590.0
2019-07-24,277,10,10.41,816.0,610.0
2019-07-24,277,15,2.74,879.0,650.0
2019-07-24,277,15,2.74,871.0,650.0
2019-06-17,289,3,12.74,805.0,750.0
2019-04-30,289,5,1.03,2.134,2.17
2019-04-30,289,5,1.03,2.137,2.17
2019-04-30,289,7,1.43,4.263,4.33
2019-04-30,289,10,11.59,2.328,2.36
2019-04-30,289,20,13.74,634.0,610.0
2019-04-30,289,20,13.74,635.0,610.0
2019-04-30,289,25,11.03,278.0,270.0
2019-04-30,289,30,11.8,357.0,350.0
2019-04-30,289,35,7.11,284.0,270.0
2019-04-30,289,40,9.07,439.0,450.0
2019-04-30,289,45,7.84,904.0,920.0
2019-04-30,289,55,2.27,5.913,6.0
2019-07-11,289,61,8.05,2.29,1.76
2019-07-11,289,70,5.49,891.0,680.0
2019-07-11,289,70,5.49,875.0,670.0
2019-05-27,301,10,8.53,1.278,1.2
2019-06-12,301,20,6.88,568.0,540.0
2019-06-12,301,20,6.88,533.0,500.0
2019-06-03,302,10,3.75,841.0,790.0
2019-06-03,302,10,3.75,885.0,830.0
2019-06-03,302,20,5.05,3.106,2.89
2019-06-03,302,30,6.62,671.0,620.0
2019-06-03,302,30,6.62,668.0,620.0
2019-06-03,302,40,9.86,1.285,1.21
2019-08-29,303,10,2.09,7.277,5.82
2019-08-29,303,10,2.09,8.199,6.56
2019-08-27,306,10,3.78,7.293,6.43
2019-08-27,306,20,6.25,4.523,3.99
2019-08-27,306,25,8.59,4.063,3.25
2019-06-26,307,10,9.51,1.31,1.22
2019-06-26,307,20,10.01,389.0,360.0
2019-06-26,307,20,10.01,396.0,370.0
2019-07-22,309,10,11.12,756.0,680.0
2019-07-22,309,10,11.12,753.0,670.0
2019-05-13,311,10,2.36,6.944,6.74
2019-05-13,311,20,5.23,3.021,2.98
2019-05-13,311,25,9.46,2.242,2.16
2019-05-13,311,30,12.1,1.16,1.12
2019-05-13,311,35,9.53,1.548,1.49
2019-09-23,312,20,6.81,402.0,350.0
2019-09-23,312,20,6.81,377.0,330.0
2019-08-01,316,15,8.09,1.279,1.02
2019-08-01,316,15,8.09,1.276,1.02
2019-05-27,321,10,11.53,264.0,250.0
2019-05-27,321,10,11.53,242.0,230.0
2019-05-27,321,20,5.1,1.284,1.21
2019-06-25,321,35,15.85,240.0,210.0
2019-05-13,326,10,8.21,389.0,380.0
2019-05-13,326,10,8.21,416.0,400.0
2019-05-13,326,20,11.4,690.0,670.0
2019-07-08,331,5,1.06,1.416,1.26
2019-07-08,331,5,1.06,1.456,1.29
2019-07-15,332,10,11.69,1.933,1.46
2019-07-15,332,10,11.69,1.97,1.48
2019-08-19,332,10,11.69,794.0,590.0
2019-08-19,332,10,11.69,785.0,580.0
2019-08-19,332,10,11.69,988.0,740.0
2019-08-19,332,10,11.69,1.004,750.0
2019-11-06,333,10,3.24,7.756,8.09
2019-11-06,333,10,3.24,7.538,7.86
2019-10-22,333,20,7.21,11.993,11.6
2019-08-20,333,25,5.55,6.434,5.44
2019-08-20,333,30,11.58,2.328,1.73
2019-08-20,333,35,8.38,2.154,1.6
2019-07-08,333,40,8.81,1.274,980.0
2019-07-08,333,40,8.81,1.143,880.0
2019-07-08,333,40,8.81,903.0,690.0
2019-07-08,333,40,8.81,1.037,800.0
2019-08-20,333,40,8.81,2.702,2.01
2019-08-20,333,45,10.4,3.705,2.76
2019-08-20,333,47,6.01,4.176,3.11
2019-08-20,333,47,6.01,4.292,3.19
2019-05-09,336,10,9.69,439.0,430.0
2019-05-09,336,15,12.49,178.0,180.0
2019-05-09,336,15,12.49,187.0,180.0
2019-07-11,347,10,2.14,2.944,2.61
2019-07-11,347,20,4.15,2.28,2.02
2019-07-11,347,20,4.15,2.261,2.01
2019-08-14,347,30,15.36,602.0,470.0
2019-08-14,347,30,15.36,591.0,460.0
2019-08-14,347,35,15.32,626.0,490.0
2019-08-14,347,40,15.31,448.0,350.0
2019-07-25,348,25,11.43,82.0,70.0
2019-07-25,348,30,12.04,408.0,340.0
2019-07-25,348,35,13.7,1.086,900.0
2019-05-14,348,50,6.1,1.695,1.64
2019-07-11,348,55,6.23,383.0,320.0
2019-07-11,348,60,7.03,1.115,860.0
2019-08-27,349,10,10.74,6.136,5.41
2019-10-08,349,20,8.0,2.566,2.3
2019-08-27,349,25,7.47,1.288,1.03
2019-10-02,354,1,1.17,12.159,11.9
2019-10-02,354,1,1.17,12.631,12.4
2019-09-18,354,3,8.64,5.284,5.15
2019-10-02,354,5,7.8,2.706,2.54
2019-09-18,354,7,11.01,1.384,1.31
2019-09-18,354,8,6.87,554.0,520.0
2019-09-18,354,8,6.87,532.0,500.0
2019-10-03,354,10,6.54,267.0,240.0
2019-10-03,354,10,6.54,259.0,230.0
2019-10-03,354,15,6.17,1.91,1.73
2019-10-03,354,20,6.07,2.228,2.02
2019-07-24,354,25,7.58,1.311,970.0
2019-05-16,357,10,12.23,925.0,900.0
2019-05-16,357,15,9.38,857.0,830.0
2019-05-02,357,20,7.13,835.0,850.0
2019-05-09,357,25,9.81,1.205,1.18
2019-06-25,366,10,18.32,836.0,730.0
2019-06-25,366,10,18.32,816.0,710.0
2019-06-25,366,20,3.58,1.413,1.23
2019-06-25,366,30,14.95,1.154,1.0
2019-06-25,366,35,6.37,796.0,635.0
2019-06-25,366,40,6.48,476.0,380.0
2019-06-25,366,40,6.48,511.0,410.0
2019-05-29,368,10,10.27,330.0,310.0
2019-06-26,368,20,7.11,945.0,880.0
2019-07-04,374,10,11.15,1.316,1.17
2019-07-04,374,10,11.15,1.339,1.2
2019-07-04,374,20,6.58,774.0,630.0
2019-07-04,374,22,16.31,139.0,120.0
2019-07-04,374,22,16.31,148.0,130.0
2019-06-27,374,27,20.64,208.0,180.0
2019-06-27,374,28,6.83,241.0,220.0
2019-06-27,374,30,11.04,488.0,440.0
2019-06-04,376,10,5.68,1.409,1.32
2019-05-28,376,20,5.96,2.215,2.08
2019-05-28,376,30,4.76,4.876,4.58
